# KS X 1001 Ideographs (4,620)
0000554F	uni554F-JP
00005553	uni5553uE0101-JP
00005556	uni5556-JP
0000555E	uni555E-JP
00005563	uni5563-JP
0000557C	uni557C-JP
00005580	uni5580-JP
00005584	uni5584-JP
00005586	uni5586-JP
00005587	uni5587-CN
00005589	uni5589-CN
0000558A	uni558A-CN
00005598	uni5598-CN
00005599	uni5599-JP
0000559A	uni559A-JP
0000559C	uni559C-JP
0000559D	uniFA36-JP
000055A7	uni55A7-JP
000055A9	uni55A9-JP
000055AA	uni55AA-JP
000055AB	uni55ABuE0101-JP
000055AC	uni55AC-JP
000055AE	uni55AE-JP
000055C5	uni55C5-CN
000055C7	uni55C7-JP
000055D4	uni55D4-JP
000055DA	uni55DA-JP
000055DC	uni55DC-CN
000055DF	uni55DF-JP
000055E3	uni55E3-CN
000055E4	uni55E4-JP
000055FD	uni55FD-JP
000055FE	uni55FE-JP
00005606	uniFA37-JP
00005609	uni5609-JP
00005614	uni5614-JP
00005617	uni5617-JP
0000562F	uni562F-JP
00005632	uni5632-JP90-JP
00005634	uni5634-JP
00005636	uni5636-JP
00005653	uni5653-JP
00005668	uniFA38-JP
0000566B	uni566B-JP
00005674	uni5674-JP
00005686	uni5686-JP
000056A5	uni56A5-JP
000056AC	uni56AC-JP
000056AE	uni56AEuE0103-JP
000056B4	uni56B4-JP
000056BC	uni56BC-JP
000056CA	uni56CA-JP
000056CD	uni56CD-JP
000056D1	uni56D1-JP
000056DA	uni56DA-JP
000056DB	uni56DB-JP
000056DE	uni56DE-CN
000056E0	uni56E0-JP
000056F0	uni56F0-JP
000056F9	uni56F9-JP
000056FA	uni56FA-CN
00005703	uni5703-CN
00005704	uni5704-CN
00005708	uni5708-JP
0000570B	uni570B-JP
0000570D	uni570D-KR
00005712	uni5712-JP
00005713	uni5713-JP
00005716	uni5716-JP
00005718	uni5718-CN
0000571F	uni571F-CN
00005728	uni5728-CN
0000572D	uni572D-CN
00005730	uni5730-CN
0000573B	uni573B-JP
00005740	uni5740-CN
00005742	uni5742-JP
00005747	uni5747-JP
0000574A	uni574A-JP
0000574D	uni574D-CN
0000574E	uni574E-JP
00005750	uni5750-CN
00005751	uni5751-JP
00005761	uni5761-CN
00005764	uni5764-CN
00005766	uni5766-JP
0000576A	uni576AuE0101-JP
0000576E	uni576E-JP
00005770	uni5770-JP
00005775	uni5775-JP
0000577C	uni577C-JP
00005782	uni5782-JP
00005788	uni5788-JP
0000578B	uni578B-CN
00005793	uni5793-JP
000057A0	uni57A0-JP
